Product,Verdict,Buyer,Country,Wants,Posted,Contact,Source URL,Verifier note
Zinc sulphate,confirmed,National Fertilizers Limited (NFL) — Govt of India undertaking,India,"IMPORT tender for Water Soluble Fertilizers incl. Zinc Sulphate 21% Heptahydrate (~2000 MT) and Zinc Sulphate 33% Monohydrate (~2000-3000 MT), CIF, containerised",2025-07-22 (Tender 05-2025-26-WSF-01EW; closed 05 Aug 2025),"imports@nfl.co.in ; Import Section (II&IP), NFL, A-11 Sector-24, Noida-201301, UP, India; Tel +91-120-2412294 / 2412445",https://eoitashkent.gov.in/wp-content/uploads/2025/07/TENDER-05-2025-26-WSF-01EW.pdf,"Re-verified: the PDF is a genuine NFL IMPORT (buy-side) tender with imports@nfl.co.in, hosted on the Embassy of India Tashkent govt domain; independent search confirms NFL's 2025-26 WSF global e-tender family. Strongest candidate. Caveat: this specific cycle CLOSED 05 Aug 2025 — NFL runs WSF import tenders annually, so it is a historical demand signal; the actionable move is the next FY cycle. India is itself a ZnSO4 producer, but this is an explicit global import tender."
Zinc sulphate,plausible,Arkadiusz Kantor (importer),Poland,"Zinc Sulphate, fertilizer grade to correct crop zinc deficiency; 100 metric tons; CIF; payment L/C",2026-05-29 (repeat 2026-03-31) — date NOT independently re-confirmed,Arkadiusz Kantor via go4WorldBusiness buyer profile (platform-gated messaging; no public phone/email),https://www.go4worldbusiness.com/buyers/zinc-sulphate.html,"Search corroborates a live Poland buy-lead matching every detail (zinc sulphate fertilizer, 100 T, CIF, L/C, Arkadiusz Kantor). Best FIT of all candidates: Poland is a net importer, not a producer. Held to 'plausible' not 'confirmed' because the specific buylead permalink would not load, I could not independently re-confirm the 2026-05-29 posting date (go4WorldBusiness is known to recycle/re-date leads), and the contact is platform-gated with no public phone/email."
Zinc sulphate,plausible,Aakash,"India (Vadodara, Gujarat)","Zinc Sulfate Powder, loose; 10 tons (monthly, urgent)",2026-07-15,+91-63****72 (masked on ExportersIndia; full number needs platform login),https://www.exportersindia.com/buyers/zinc-sulphate.htm,"Re-verified present on the live ExportersIndia page with exact date 2026-07-15 and 10 T qty. Weak: single first name only, masked/unreachable contact, and India is a net ZnSO4 exporter so this is almost certainly domestic/trader demand — poor fit for Iran-origin import supply."
Zinc sulphate,plausible,Rakesh Singh,"India (Mumbai, Maharashtra)",Zinc sulphate; 100 MT,~2026-07 (shown 'One month ago' on page loaded 2026-08-04),+91-74****02 (masked on ExportersIndia),https://www.exportersindia.com/buyers/zinc-sulphate.htm,"Re-verified present on the live page (100 MT). Weak: relative date only, very common name, masked/unreachable contact, and India self-producer → likely domestic/trader, poor fit for Iran-origin export."
Zinc sulphate,plausible,Yougesh Tore,"India (Mumbai, Maharashtra)","Zinc Sulphate Crystal (heptahydrate), 50 kg packaging; 1000 tons (urgent, monthly)",~2026-07 (shown 'One month ago'),+91-72****47 (masked on ExportersIndia),https://www.exportersindia.com/buyers/zinc-sulphate.htm,"Re-verified present on the live page with full name and large 1000 T qty. Weak: relative date, masked/unreachable contact, India self-producer → probable domestic/trader demand rather than genuine import; large 'urgent' qty on a spam-prone platform lowers trust."
Zinc sulphate,plausible,Gopinath Rajamanickam,"India (Erode, Tamil Nadu)","Zinc sulphate; 50 tons (tagged 'big deal', urgent, monthly)",~2026-07 (shown 'One month ago'),+91-98****79 (masked on ExportersIndia),https://www.exportersindia.com/buyers/zinc-sulphate.htm,"Re-verified present on the live page with full name and 50 T qty. Weak: relative date, masked/unreachable contact, India self-producer → likely domestic/trader, poor fit for Iran-origin import."
Zinc sulphate,plausible,Kalpesh Patel,"India (Ahmedabad, Gujarat)","Zinc Sulfate Powder, industrial grade; 25 tons",~2026-07 (shown 'One month ago'),+91-81****13 (masked on ExportersIndia),https://www.exportersindia.com/buyers/zinc-sulphate.htm,"Re-verified present on the live page (25 T, industrial). Weakest-tier: relative date, masked/unreachable contact, common name, India self-producer → almost certainly domestic/trader demand, poor fit for Iran-origin export."
Copper sulphate,confirmed,NHS Blood and Transplant (NHSBT),United Kingdom,Framework Agreement for the Supply of Copper Sulphate SOLUTION for Blood Donor Haemoglobin Screening (in-vitro semi-quantitative reagent for capillary Hb acceptance). Est. GBP 2.25M ex-VAT over 4 yrs.,2025-12-23 (tender notice; preliminary market engagement 2025-09-04),NHSBT procurement team via UK Find a Tender portal (register/respond through the notice).,https://www.find-tender.service.gov.uk/procurement/ocds-h6vhtk-0593fd,"Re-verified on Find a Tender (OCDS ocds-h6vhtk-0593fd): NHSBT, buyer-side framework for copper sulphate solution; preliminary engagement 4 Sep 2025, tender notice 23 Dec 2025, contract award notice 21 May 2026. Genuine, dated, buy-side, UK (outside Iran), real named public entity. CAVEATS: diagnostic reagent grade (not agri/mining/feed, poor fit for Iran-origin bulk sourcing); NHSBT is phasing toward finger-prick Hb testing so future volume may shrink; award notice already published (likely awarded)."
Copper sulphate,confirmed,Fairfax Water (Fairfax County Water Authority),United States (Virginia),Copper Sulfate in 50 lb bags (priced per ton) for drinking-water/algae treatment; recurring annual public-utility requirement.,2025-02-03 (Notice of Intent to Award),"Fairfax Water, Dept. of Procurement, 8570 Executive Park Ave, Fairfax, VA 22031; solicitations at fairfaxwater.org/contracts",https://www.fairfaxwater.org/contracts,"Verified real recurring public-utility buyer. Notice of Intent to Award (3 Feb 2025), contract 2025-011, Copper Sulfate 50# bags, awarded to Chemrite Inc. for $102,300. Dated 2025+, buy-side, US (outside Iran), real named entity with reachable procurement office. CAVEAT: this specific contract is ALREADY AWARDED (not an open bid); small tonnage; demand recurs annually so a future cycle is the real opportunity."
Copper sulphate,confirmed,"City of Middletown, Connecticut — Charles Bacon Water Treatment Plant",United States (Connecticut),"Copper sulfate pentahydrate, NSF grade, medium crystal, 2,000 lb bags (5 bags / ~5,000 lb) delivered to Charles Bacon WTP — Bid# 2026-011 Purchase of Various Water Treatment Chemicals.",2026 (Bid# 2026-011),"City of Middletown Purchasing Division, 245 deKoven Dr, Middletown CT; bid results at middletownct.gov/175/Bid-Results",https://www.middletownct.gov/DocumentCenter/View/27702/Bid-2026-011-Purchase-of-Water-Treatment-Chemicals,"Bid# 2026-011 confirmed to include copper sulfate pentahydrate (NSF grade, medium crystal), 2000 lb bags x5, delivered to the Charles Bacon WTP. Dated 2026, buy-side, US (outside Iran), real named municipal entity with reachable purchasing division. Small recurring tonnage; solid confirmation of the line item."
